source_rank,company_name,domain,api_name,events_last_12_months,event_type_counts,publishers,avg_relevance_confidence,latest_event_date,sample_event_count,data_completeness_percent,raw_response_path
10,BHP,bhp.com,Tavily Search API,10,M&A: 1; expansion: 1; leadership: 1; other: 7,ainvest.com; finedayradio.com; marketbeat.com; northernminer.com; seekingalpha.com; tradingview.com; wiky.com; wsj.com,0.73,2026-03-18,10,100.00,raw/tavily/data/bhp.json
1,DBS Group,dbs.com,Google News RSS,10,other: 10,Fortune; Global Finance Magazine; MarketBeat; Moomoo; Retail Banker International; Reuters; Yahoo Finance; simplywall.st; thedefiant.io,0.53,2026-06-13,10,80.00,raw/google_news_rss/data/dbs_group.json
2,Singapore Telecommunications,singtel.com,Google News RSS,10,expansion: 1; funding: 1; other: 8,Bloomberg.com; CNBC; Dark Reading; Morningstar; Nikkei Asia; Rescana; Reuters; TradingView; Yahoo Finance; ifr-logo,0.52,2026-06-09,10,100.00,raw/google_news_rss/data/singapore_telecommunications.json
3,United Overseas Bank,uobgroup.com,Google News RSS,10,leadership: 1; other: 9,36 Kr; Bisnow; Bloomberg.com; Mingtiandi; Mitrade; PR Newswire; Private Banker International; Reuters; Yahoo Finance; simplywall.st,0.54,2026-06-13,10,100.00,raw/google_news_rss/data/united_overseas_bank.json
4,ST Engineering,stengg.com,Google News RSS,10,launch: 1; leadership: 3; other: 6,AviTrader Aviation News; Boston Dynamics; Morningstar; Runway Girl; ST Engineering; Satellite Evolution; Seawork 2026; The Fast Mode; Via Satellite; satnews.com,0.74,2026-06-10,10,100.00,raw/google_news_rss/data/st_engineering.json
5,Toyota Motor Corporation,global.toyota,Google News RSS,10,leadership: 1; other: 9,Automotive News; Bloomberg.com; Daimler Truck; Global Finance Magazine; Reuters; Stock Titan; Techzine Global; Yahoo Finance; toyota-tsusho.com; トヨタ自動車株式会社 公式企業サイト,0.51,2026-06-12,10,100.00,raw/google_news_rss/data/toyota_motor_corporation.json
6,Sony Group Corporation,sony.com,Google News RSS,10,funding: 1; other: 9,MarketBeat; Sony; Stock Titan; TradingKey; TradingView; Yahoo Finance,0.54,2026-06-12,10,100.00,raw/google_news_rss/data/sony_group_corporation.json
7,Samsung Electronics,samsung.com,Google News RSS,10,leadership: 1; other: 8; partnership: 1,ABB; BBC; CNBC; DW.com; Reuters; Samsung; The Guardian; The Korea Times; The New York Times; WSJ,0.50,2026-06-10,10,100.00,raw/google_news_rss/data/samsung_electronics.json
8,SK Hynix,skhynix.com,Google News RSS,10,launch: 1; leadership: 1; other: 8,Barron's; Bloomberg.com; CNBC; Nikkei Asia; Reuters; TrendForce; Yahoo Finance; thelec.net; 富途牛牛; 조선일보,0.70,2026-06-14,10,100.00,raw/google_news_rss/data/sk_hynix.json
9,Infosys,infosys.com,Google News RSS,10,other: 10,IT Brief Asia; Investing.com; Microsoft Source; Moneycontrol.com; PR Newswire; Storyboard18; The Ken; The Times of India; Yahoo Finance; msn.com,0.70,2026-06-13,10,80.00,raw/google_news_rss/data/infosys.json
10,BHP,bhp.com,Google News RSS,10,other: 10,Australian Broadcasting Corporation; The Guardian; gCaptain,0.68,2026-06-11,10,80.00,raw/google_news_rss/data/bhp.json
1,DBS Group,dbs.com,NewsAPI Everything API,10,expansion: 2; funding: 1; leadership: 2; other: 5,Barchart.com; CNA; Crypto Briefing; Financial Post; Privatebankerinternational.com; The Straits Times; Yahoo Entertainment,0.50,2026-06-11,10,100.00,raw/newsapi/data/dbs_group.json
2,Singapore Telecommunications,singtel.com,NewsAPI Everything API,4,M&A: 1; expansion: 1; launch: 1; other: 1,CNA; Financial Post; GlobeNewswire,0.53,2026-06-04,4,100.00,raw/newsapi/data/singapore_telecommunications.json
3,United Overseas Bank,uobgroup.com,NewsAPI Everything API,1,M&A: 1,Crypto Briefing,0.55,2026-06-06,1,100.00,raw/newsapi/data/united_overseas_bank.json
