source_rank,company_name,domain,api_name,event_headline,event_url,event_date,event_type,source_publisher,relevance_confidence,source_field,raw_response_path
2,Singapore Telecommunications,singtel.com,Exa Search API,Singtel partners with DISG to drive multi-year AI transformation internally – TelecomLive,https://telecomlive.in/web/2026/06/05/singtel-partners-with-disg-to-drive-multi-year-ai-transformation-internally/,2026-06-05,partnership,telecomlive.in,0.55,results.8,raw/exa/data/singapore_telecommunications.json
2,Singapore Telecommunications,singtel.com,Exa Search API,"Singtel and DISG Collaborate for Major AI Transformation in Singapore, ETTelecom",https://telecom.economictimes.indiatimes.com/news/industry/singtel-and-disg-collaborate-for-major-ai-transformation-in-singapore/131525880,2026-06-05,other,telecom.economictimes.indiatimes.com,0.45,results.9,raw/exa/data/singapore_telecommunications.json
3,United Overseas Bank,uobgroup.com,Exa Search API,UOB appoints new CEOs for China and Hong Kong branch - The Business Times,https://www.businesstimes.com.sg/companies-markets/uob-appoints-new-ceos-china-and-hong-kong-branch,2026-06-08,leadership,businesstimes.com.sg,0.55,results.0,raw/exa/data/united_overseas_bank.json
3,United Overseas Bank,uobgroup.com,Exa Search API,"UOB and FPT sign MoU to advance AI, technology transformation and financial innovation opportunities",https://www.prnewswire.com/apac/news-releases/uob-and-fpt-sign-mou-to-advance-ai-technology-transformation-and-financial-innovation-opportunities-302786595.html,2026-06-01,other,prnewswire.com,0.45,results.1,raw/exa/data/united_overseas_bank.json
3,United Overseas Bank,uobgroup.com,Exa Search API,AllianzGI in exclusive talks to buy UOB Asset Management: sources - The Business Times,https://www.businesstimes.com.sg/companies-markets/banking-finance/allianzgi-exclusive-talks-buy-uob-asset-management-sources,2026-06-05,other,businesstimes.com.sg,0.45,results.2,raw/exa/data/united_overseas_bank.json
3,United Overseas Bank,uobgroup.com,Exa Search API,UOB refreshes regional leadership - UOB Group,https://www.uobgroup.com/uobgroup/newsroom/news-releases/2026/uob-refreshes-regional-leadership.page,2026-06-08,leadership,uobgroup.com,0.70,results.3,raw/exa/data/united_overseas_bank.json
3,United Overseas Bank,uobgroup.com,Exa Search API,UOB explores joining Vietnam international financial center - The Saigon Times,https://english.thesaigontimes.vn/uob-explores-joining-vietnam-international-financial-center/,2026-06-03,other,english.thesaigontimes.vn,0.45,results.4,raw/exa/data/united_overseas_bank.json
3,United Overseas Bank,uobgroup.com,Exa Search API,UOB pursues AI‑driven modernization via Vietnam software partnership across regional markets - Digifinasia,https://digifinasia.net/digital-banking/uob-pursues-ai-driven-modernization-via-vietnam-software-partnership-across-regional-markets/,2026-06-02,partnership,digifinasia.net,0.55,results.5,raw/exa/data/united_overseas_bank.json
3,United Overseas Bank,uobgroup.com,Exa Search API,"Germany $692 Billion Asset Manager Allianz Global Investors in Exclusive Talks to Buy $34 Billion UOB Asset Management for $465 Million (S$600 Million) Representing 1.38% Fee of AUM, UOB Asset Management Founded in 1986 & is Subsidiary of Singapore 3rd Largest Bank UOB | Caproasia",https://www.caproasia.com/2026/06/06/germany-692-billion-asset-manager-allianz-global-investors-in-exclusive-talks-to-buy-34-billion-uob-asset-management-for-465-million-s600-million-representing-1-38-fee-of-aum-uob-asset-manageme/,2026-06-05,other,caproasia.com,0.45,results.6,raw/exa/data/united_overseas_bank.json
3,United Overseas Bank,uobgroup.com,Exa Search API,UOB considers joining Viet Nam International Financial Center,https://en.baochinhphu.vn/uob-considers-joining-viet-nam-international-financial-center-111260603160007642.htm,2026-06-03,other,en.baochinhphu.vn,0.45,results.7,raw/exa/data/united_overseas_bank.json
3,United Overseas Bank,uobgroup.com,Exa Search API,UOB tech hub opens in Punggol Digital District | The Straits Times,https://www.straitstimes.com/business/uob-opens-new-500m-tech-hub-at-punggol-digital-district-with-400-staff-already-on-site,2026-05-06,expansion,straitstimes.com,0.55,results.8,raw/exa/data/united_overseas_bank.json
3,United Overseas Bank,uobgroup.com,Exa Search API,"UOB and FPT sign MoU to advance AI, technology transformation and financial innovation opportunities - ANTARA News",https://en.antaranews.com/amp/news/417957/uob-and-fpt-sign-mou-to-advance-ai-technology-transformation-and-financial-innovation-opportunities,2026-06-04,other,en.antaranews.com,0.45,results.9,raw/exa/data/united_overseas_bank.json
4,ST Engineering,stengg.com,Exa Search API,ST Engineering names its group COO and commercial aerospace president as group deputy CEO - The Business Times,https://www.businesstimes.com.sg/companies-markets/st-engineering-names-its-group-coo-and-commercial-aerospace-president-group-deputy-ceo,2026-05-28,leadership,businesstimes.com.sg,0.80,results.0,raw/exa/data/st_engineering.json
4,ST Engineering,stengg.com,Exa Search API,News - ST Engineering Announces $4.8b in Contract Wins for 1Q2026,https://www.stengg.com/en/newsroom/news-releases/st-engineering-announces-4-8b-in-contract-wins-for-1q2026/,2026-04-27,other,stengg.com,0.85,results.1,raw/exa/data/st_engineering.json
4,ST Engineering,stengg.com,Exa Search API,TKMS and ST Engineering sign MoU in Singapore - TKMS Group,https://www.tkmsgroup.com/news/article/tkms-and-stengineering-sign-mou-in-singapore,2026-03-24,other,tkmsgroup.com,0.45,results.2,raw/exa/data/st_engineering.json
4,ST Engineering,stengg.com,Exa Search API,ST Engineering unit bags Middle East smart mobility projects worth over S$100 million - The Business Times,https://www.businesstimes.com.sg/companies-markets/st-engineering-unit-bags-middle-east-smart-mobility-projects-worth-over-s100-million,2026-05-07,other,businesstimes.com.sg,0.70,results.3,raw/exa/data/st_engineering.json
4,ST Engineering,stengg.com,Exa Search API,"ST Engineering bags S$4.8 billion in Q1 contracts on Middle East defence, aerospace demand - The Business Times",https://www.businesstimes.com.sg/companies-markets/st-engineering-bags-s4-8-billion-q1-contracts-middle-east-defence-aerospace-demand,2026-04-27,other,businesstimes.com.sg,0.70,results.4,raw/exa/data/st_engineering.json
4,ST Engineering,stengg.com,Exa Search API,HTX and ST Engineering Launch Space Tech Program for Singapore Public Safety – SatNews,https://satnews.com/2026/04/28/htx-and-st-engineering-launch-space-tech-program-for-singapore-public-safety/,2026-04-28,launch,satnews.com,0.80,results.5,raw/exa/data/st_engineering.json
4,ST Engineering,stengg.com,Exa Search API,HTX And ST Engineering Partner On Space Tech For Public Safety - AirPro News,https://airpronews.com/2026/04/30/htx-and-st-engineering-partner-on-space-tech-for-public-safety/,2026-04-30,partnership,airpronews.com,0.80,results.6,raw/exa/data/st_engineering.json
