source_rank,company_name,domain,api_name,field,status,reason,raw_response_path
1,DBS Group,dbs.com,PredictLeads Job Openings API,Active job count (total),Not Tested,PredictLeads API credential was reported invalid; leave as blocked until a valid key is provided.,raw/predictleads_job_openings_api/data/dbs_group.json
1,DBS Group,dbs.com,PredictLeads Job Openings API,Active job count (SG),Not Tested,PredictLeads API credential was reported invalid; leave as blocked until a valid key is provided.,raw/predictleads_job_openings_api/data/dbs_group.json
1,DBS Group,dbs.com,PredictLeads Job Openings API,Roles by function (eng/design/IT/sales/ops),Not Tested,PredictLeads API credential was reported invalid; leave as blocked until a valid key is provided.,raw/predictleads_job_openings_api/data/dbs_group.json
1,DBS Group,dbs.com,PredictLeads Job Openings API,Hiring velocity (postings last 90 days),Not Tested,PredictLeads API credential was reported invalid; leave as blocked until a valid key is provided.,raw/predictleads_job_openings_api/data/dbs_group.json
1,DBS Group,dbs.com,PredictLeads Job Openings API,Job locations,Not Tested,PredictLeads API credential was reported invalid; leave as blocked until a valid key is provided.,raw/predictleads_job_openings_api/data/dbs_group.json
1,DBS Group,dbs.com,PredictLeads Job Openings API,Posting first-seen date,Not Tested,PredictLeads API credential was reported invalid; leave as blocked until a valid key is provided.,raw/predictleads_job_openings_api/data/dbs_group.json
1,DBS Group,dbs.com,PredictLeads Job Openings API,Source URL,Not Tested,PredictLeads API credential was reported invalid; leave as blocked until a valid key is provided.,raw/predictleads_job_openings_api/data/dbs_group.json
2,Singapore Telecommunications,singtel.com,PredictLeads Job Openings API,Active job count (total),Not Tested,PredictLeads API credential was reported invalid; leave as blocked until a valid key is provided.,raw/predictleads_job_openings_api/data/singapore_telecommunications.json
2,Singapore Telecommunications,singtel.com,PredictLeads Job Openings API,Active job count (SG),Not Tested,PredictLeads API credential was reported invalid; leave as blocked until a valid key is provided.,raw/predictleads_job_openings_api/data/singapore_telecommunications.json
2,Singapore Telecommunications,singtel.com,PredictLeads Job Openings API,Roles by function (eng/design/IT/sales/ops),Not Tested,PredictLeads API credential was reported invalid; leave as blocked until a valid key is provided.,raw/predictleads_job_openings_api/data/singapore_telecommunications.json
2,Singapore Telecommunications,singtel.com,PredictLeads Job Openings API,Hiring velocity (postings last 90 days),Not Tested,PredictLeads API credential was reported invalid; leave as blocked until a valid key is provided.,raw/predictleads_job_openings_api/data/singapore_telecommunications.json
2,Singapore Telecommunications,singtel.com,PredictLeads Job Openings API,Job locations,Not Tested,PredictLeads API credential was reported invalid; leave as blocked until a valid key is provided.,raw/predictleads_job_openings_api/data/singapore_telecommunications.json
2,Singapore Telecommunications,singtel.com,PredictLeads Job Openings API,Posting first-seen date,Not Tested,PredictLeads API credential was reported invalid; leave as blocked until a valid key is provided.,raw/predictleads_job_openings_api/data/singapore_telecommunications.json
2,Singapore Telecommunications,singtel.com,PredictLeads Job Openings API,Source URL,Not Tested,PredictLeads API credential was reported invalid; leave as blocked until a valid key is provided.,raw/predictleads_job_openings_api/data/singapore_telecommunications.json
3,United Overseas Bank,uobgroup.com,PredictLeads Job Openings API,Active job count (total),Not Tested,PredictLeads API credential was reported invalid; leave as blocked until a valid key is provided.,raw/predictleads_job_openings_api/data/united_overseas_bank.json
3,United Overseas Bank,uobgroup.com,PredictLeads Job Openings API,Active job count (SG),Not Tested,PredictLeads API credential was reported invalid; leave as blocked until a valid key is provided.,raw/predictleads_job_openings_api/data/united_overseas_bank.json
3,United Overseas Bank,uobgroup.com,PredictLeads Job Openings API,Roles by function (eng/design/IT/sales/ops),Not Tested,PredictLeads API credential was reported invalid; leave as blocked until a valid key is provided.,raw/predictleads_job_openings_api/data/united_overseas_bank.json
3,United Overseas Bank,uobgroup.com,PredictLeads Job Openings API,Hiring velocity (postings last 90 days),Not Tested,PredictLeads API credential was reported invalid; leave as blocked until a valid key is provided.,raw/predictleads_job_openings_api/data/united_overseas_bank.json
3,United Overseas Bank,uobgroup.com,PredictLeads Job Openings API,Job locations,Not Tested,PredictLeads API credential was reported invalid; leave as blocked until a valid key is provided.,raw/predictleads_job_openings_api/data/united_overseas_bank.json
3,United Overseas Bank,uobgroup.com,PredictLeads Job Openings API,Posting first-seen date,Not Tested,PredictLeads API credential was reported invalid; leave as blocked until a valid key is provided.,raw/predictleads_job_openings_api/data/united_overseas_bank.json
3,United Overseas Bank,uobgroup.com,PredictLeads Job Openings API,Source URL,Not Tested,PredictLeads API credential was reported invalid; leave as blocked until a valid key is provided.,raw/predictleads_job_openings_api/data/united_overseas_bank.json
4,ST Engineering,stengg.com,PredictLeads Job Openings API,Active job count (total),Not Tested,PredictLeads API credential was reported invalid; leave as blocked until a valid key is provided.,raw/predictleads_job_openings_api/data/st_engineering.json
4,ST Engineering,stengg.com,PredictLeads Job Openings API,Active job count (SG),Not Tested,PredictLeads API credential was reported invalid; leave as blocked until a valid key is provided.,raw/predictleads_job_openings_api/data/st_engineering.json
4,ST Engineering,stengg.com,PredictLeads Job Openings API,Roles by function (eng/design/IT/sales/ops),Not Tested,PredictLeads API credential was reported invalid; leave as blocked until a valid key is provided.,raw/predictleads_job_openings_api/data/st_engineering.json
4,ST Engineering,stengg.com,PredictLeads Job Openings API,Hiring velocity (postings last 90 days),Not Tested,PredictLeads API credential was reported invalid; leave as blocked until a valid key is provided.,raw/predictleads_job_openings_api/data/st_engineering.json
