source_rank,company_name,domain,api_name,requested_contact,field,status,reason,raw_response_path
6,Sony Group Corporation,sony.com,Apollo People Search API,Company level,Direct/mobile phone + confidence,Not Tested,No direct/mobile phone returned in parsed contacts or phone enrichment was gated.,raw/apollo/data/sony_group_corporation.json
6,Sony Group Corporation,sony.com,Apollo People Search API,Company level,"Title, seniority, department",Not Tested,No title/seniority/department returned in parsed contacts.,raw/apollo/data/sony_group_corporation.json
6,Sony Group Corporation,sony.com,Apollo People Search API,Company level,Reports-to / org-chart hierarchy,Not Tested,No reports-to/org-chart hierarchy returned.,raw/apollo/data/sony_group_corporation.json
6,Sony Group Corporation,sony.com,Apollo People Search API,Company level,LinkedIn URL,Not Tested,No LinkedIn URL returned in parsed contacts.,raw/apollo/data/sony_group_corporation.json
6,Sony Group Corporation,sony.com,Apollo People Search API,Company level,Match rate per requested contact,Not Tested,No matched contacts returned.,raw/apollo/data/sony_group_corporation.json
7,Samsung Electronics,samsung.com,Apollo People Search API,Company level,Verified work email + confidence,Not Tested,No verified work email returned in parsed contacts.,raw/apollo/data/samsung_electronics.json
7,Samsung Electronics,samsung.com,Apollo People Search API,Company level,Direct/mobile phone + confidence,Not Tested,No direct/mobile phone returned in parsed contacts or phone enrichment was gated.,raw/apollo/data/samsung_electronics.json
7,Samsung Electronics,samsung.com,Apollo People Search API,Company level,"Title, seniority, department",Not Tested,No title/seniority/department returned in parsed contacts.,raw/apollo/data/samsung_electronics.json
7,Samsung Electronics,samsung.com,Apollo People Search API,Company level,Reports-to / org-chart hierarchy,Not Tested,No reports-to/org-chart hierarchy returned.,raw/apollo/data/samsung_electronics.json
7,Samsung Electronics,samsung.com,Apollo People Search API,Company level,LinkedIn URL,Not Tested,No LinkedIn URL returned in parsed contacts.,raw/apollo/data/samsung_electronics.json
7,Samsung Electronics,samsung.com,Apollo People Search API,Company level,Match rate per requested contact,Not Tested,No matched contacts returned.,raw/apollo/data/samsung_electronics.json
8,SK Hynix,skhynix.com,Apollo People Search API,Company level,Verified work email + confidence,Not Tested,No verified work email returned in parsed contacts.,raw/apollo/data/sk_hynix.json
8,SK Hynix,skhynix.com,Apollo People Search API,Company level,Direct/mobile phone + confidence,Not Tested,No direct/mobile phone returned in parsed contacts or phone enrichment was gated.,raw/apollo/data/sk_hynix.json
8,SK Hynix,skhynix.com,Apollo People Search API,Company level,"Title, seniority, department",Not Tested,No title/seniority/department returned in parsed contacts.,raw/apollo/data/sk_hynix.json
